Country,Area,Municipio,x,y
Guatemala,Chimaltenango,Santa Cruz Balanyá,-90.73333,14.78333
Guatemala,Huehuetenango,Santa Cruz Barillas,-91.56141395,15.65060596
Guatemala,Quiché,Santa Cruz del Quiché,-90.6428263,14.40889512
Guatemala,Baja Verapaz,Santa Cruz el Chol,-90.38505493,15.11763409
Guatemala,Sololá,Santa Cruz La Laguna,-90.6428263,14.40889512
Guatemala,Retalhuleu,Santa Cruz Muluá,-91.85454827,14.37632
Guatemala,Alta Verapaz,Santa Cruz Verapaz,-90.10134012,15.64019212
Guatemala,Huehuetenango,Santa Eulalia,-91.56141395,15.65060596
Guatemala,Escuintla,Santa Lucía Cotzumalguapa,-91.01667,14.33333
Guatemala,Alta Verapaz,Santa María Cahabón,-90.10134012,15.64019212
Guatemala,Huehuetenango,Santiago Chimaltenango,-91.71667,15.46667
Guatemala,Quiché,Santo Tomás Chichicastenango,-91.11667,14.93333
Guatemala,Petén,Sayaxché,-90.02071868,16.97973195
Guatemala,Alta Verapaz,Senahú,-90.10134012,15.64019212
Guatemala,Quetzaltenango,Sibilia,-91.71338713,14.7880793
Guatemala,Escuintla,Sipacate,-91.14762813,13.93007288
Guatemala,Escuintla,Siquinalá,-91.00738738,14.1651146
Guatemala,Alta Verapaz,Tactic,-90.10134012,15.64019212
Guatemala,Alta Verapaz,Tamahú,-90.16667,15.33333
Guatemala,Chimaltenango,Tecpán,-90.99417,14.76694
Guatemala,Huehuetenango,Tectitán,-91.56141395,15.65060596
Guatemala,Escuintla,Tiquisate,-91.00738738,14.1651146
Guatemala,Huehuetenango,Todos Santos Cuchumatán,-91.13944,15.8325
Guatemala,Alta Verapaz,Tucurú,-90.10134012,15.64019212
Guatemala,Huehuetenango,Unión Cantinil,-91.76667,15.91667
Guatemala,Quiché,Uspantán,-90.94953373,15.45303782
Guatemala,Guatemala,Villa Canales,-90.63057466,14.83668247
Guatemala,Guatemala,Villa Nueva,-90.59193115,14.52822613
Guatemala,Chimaltenango,Yepocapa,-90.92212206,14.6965749
Guatemala,Jutiapa,Yupiltepeque,-89.89924748,14.20975815
Guatemala,Quiché,Zacualpa,-90.94953373,15.45303782
Guatemala,Jutiapa,Zapotitlán,-89.89924748,14.20975815
Guatemala,Chimaltenango,Zaragoza,-90.92212206,14.6965749
Guatemala,Quetzaltenango,Zunil,-91.71338713,14.7880793
